 ,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi,
2004,0,0,7,0,0,0,0,0,1,0,10,8,0,0,0,0,0,2,0,0,0,55,0,0,0,1,0,3,0,0,2,1,23,0,0,0,0,0,0,0,122,0,0,0,0,0,0,
2005,1,2,1,0,0,1,1,0,0,0,12,36,0,0,0,0,0,0,0,0,0,79,2,0,0,10,2,2,1,0,2,19,32,0,0,1,1,1,0,0,94,0,0,0,1,5,0,
2006,1,2,3,0,0,0,2,0,0,1,28,24,0,0,0,0,0,0,0,4,0,125,0,0,0,0,1,4,0,3,4,4,39,0,0,5,0,0,0,0,136,0,2,0,0,1,2,
2007,2,21,46,37,1,15,103,7,18,20,262,285,5,5,1,2,2,41,7,25,29,1580,7,3,14,124,24,245,35,14,44,78,1166,5,12,16,0,31,11,35,3198,1,24,23,17,6,3,
2008,8,47,148,57,5,10,383,25,37,42,717,625,3,2,6,10,8,92,12,18,164,3639,11,9,48,281,128,637,50,55,111,135,2786,18,35,58,0,47,3,34,6284,0,105,70,33,2,15,
2009,15,74,172,63,1,11,294,8,67,17,1016,635,5,6,11,14,2,88,18,36,125,3869,12,5,28,353,125,538,75,33,158,193,2551,22,32,65,4,76,15,32,7003,30,163,32,47,20,11,
2010,4,51,153,43,2,6,326,35,51,17,694,636,1,6,6,5,1,134,9,21,115,3339,11,15,27,227,92,730,66,22,173,76,2142,21,21,53,4,62,6,18,5541,20,116,25,67,4,7,
2011,14,99,143,40,1,15,377,142,23,22,706,605,6,5,5,12,1,120,12,12,155,3237,12,15,58,256,129,639,64,28,133,81,2402,22,24,50,2,63,9,42,5639,35,119,35,55,16,9,
2012,19,48,204,74,3,10,528,62,82,33,1350,672,11,11,5,9,2,257,9,22,264,6313,29,6,51,415,218,1196,73,65,245,147,4808,40,48,37,9,56,13,21,8961,45,294,60,61,24,39,
2013,9,75,146,32,8,21,405,37,83,31,1157,617,17,15,2,10,10,191,21,43,135,4994,20,10,80,286,144,1034,65,26,226,198,4074,53,12,51,5,47,19,38,7197,32,275,168,51,15,18,
2014,20,52,177,52,7,22,545,43,98,72,1238,637,29,13,9,14,9,280,27,33,268,5753,29,7,79,420,284,1081,71,82,328,136,4635,90,30,41,6,74,20,28,8763,35,288,91,57,24,38,
2015,17,92,187,41,7,40,536,41,64,47,1369,657,11,6,9,10,19,337,10,50,268,5049,14,12,92,448,275,944,62,29,367,100,3618,41,25,36,11,54,10,28,7163,66,322,98,42,49,19,
2016,12,78,134,40,6,50,578,50,47,35,1222,926,12,17,6,13,15,290,9,35,270,4470,8,5,76,488,357,904,84,54,251,172,3545,53,24,33,12,35,5,69,7060,49,315,51,54,33,10,
2017,9,66,153,33,7,24,360,37,67,26,1087,562,4,18,10,5,3,227,22,57,196,3538,7,11,76,416,190,869,64,43,180,161,2775,37,13,24,5,57,17,17,5454,106,374,71,81,40,12,
2018,4,57,105,23,12,29,381,26,23,13,793,382,9,6,4,15,9,141,10,11,164,2760,6,5,44,512,174,660,135,28,161,166,1889,38,17,14,3,19,14,18,4096,65,271,55,52,16,9,
2019,3,13,59,23,0,13,154,14,6,4,284,217,2,2,1,5,0,78,6,2,52,1296,4,0,34,234,63,310,23,41,73,50,824,17,4,18,6,35,6,7,2205,34,194,33,17,9,2,
