 , ,2018,,,2017,,,2016,,,2015,,,2014,,,2013,,,2012,,,2011,,,2010,
,Data,R_F,Log,Data,R_F,Log,Data,R_F,Log,Data,R_F,Log,Data,R_F,Log,Data,R_F,Log,Data,R_F,Log,Data,R_F,Log,Data,R_F,Log
Aichi,4,0.03,-1.522878745,9,0.05,-1.301029996,12,0.05,-1.301029996,17,0.07,-1.15490196,20,0.08,-1.096910013,9,0.04,-1.397940009,19,0.07,-1.15490196,14,0.09,-1.045757491,4,0.03,-1.522878745
Akita,57,0.42,-0.37675071,66,0.37,-0.431798276,78,0.35,-0.455931956,92,0.4,-0.397940009,52,0.2,-0.698970004,75,0.34,-0.468521083,48,0.18,-0.744727495,99,0.63,-0.200659451,51,0.34,-0.468521083
Aomori,105,0.78,-0.107905397,153,0.87,-0.060480747,134,0.61,-0.214670165,187,0.82,-0.086186148,177,0.68,-0.167491087,146,0.66,-0.180456064,204,0.76,-0.119186408,143,0.91,-0.040958608,153,1.01,0.004321374
Chiba,23,0.17,-0.769551079,33,0.19,-0.721246399,40,0.18,-0.744727495,41,0.18,-0.744727495,52,0.2,-0.698970004,32,0.14,-0.853871964,74,0.27,-0.568636236,40,0.25,-0.602059991,43,0.28,-0.552841969
Ehime,12,0.09,-1.045757491,7,0.04,-1.397940009,6,0.03,-1.522878745,7,0.03,-1.522878745,7,0.03,-1.522878745,8,0.04,-1.397940009,3,0.01,-2,1,0.01,-2,2,0.01,-2
Fukui,29,0.22,-0.657577319,24,0.14,-0.853871964,50,0.23,-0.638272164,40,0.18,-0.744727495,22,0.08,-1.096910013,21,0.09,-1.045757491,10,0.04,-1.397940009,15,0.1,-1,6,0.04,-1.397940009
Fukuoka,381,2.83,0.451786436,360,2.04,0.309630167,578,2.62,0.418301291,536,2.35,0.371067862,545,2.09,0.320146286,405,1.82,0.260071388,528,1.96,0.292256071,377,2.4,0.380211242,326,2.14,0.330413773
Fukushima,26,0.19,-0.721246399,37,0.21,-0.677780705,50,0.23,-0.638272164,41,0.18,-0.744727495,43,0.16,-0.795880017,37,0.17,-0.769551079,62,0.23,-0.638272164,142,0.91,-0.040958608,35,0.23,-0.638272164
Gifu,23,0.17,-0.769551079,67,0.38,-0.420216403,47,0.21,-0.677780705,64,0.28,-0.552841969,98,0.37,-0.431798276,83,0.37,-0.431798276,82,0.3,-0.522878745,23,0.15,-0.823908741,51,0.34,-0.468521083
Gunma,13,0.1,-1,26,0.15,-0.823908741,35,0.16,-0.795880017,47,0.21,-0.677780705,72,0.28,-0.552841969,31,0.14,-0.853871964,33,0.12,-0.920818754,22,0.14,-0.853871964,17,0.11,-0.958607315
Hiroshima,793,5.9,0.770852012,1087,6.17,0.790285164,1222,5.54,0.743509765,1369,6.01,0.778874472,1238,4.74,0.675778342,1157,5.21,0.716837723,1350,5.01,0.699837726,706,4.5,0.653212514,694,4.57,0.6599162
Hokkaido,382,2.84,0.45331834,562,3.19,0.503790683,926,4.2,0.62324929,657,2.88,0.459392488,637,2.44,0.387389826,617,2.78,0.444044796,672,2.49,0.396199347,605,3.86,0.586587305,636,4.18,0.621176282
Hyogo,9,0.07,-1.15490196,4,0.02,-1.698970004,12,0.05,-1.301029996,11,0.05,-1.301029996,29,0.11,-0.958607315,17,0.08,-1.096910013,11,0.04,-1.397940009,6,0.04,-1.397940009,1,0.01,-2
Ibaraki,6,0.04,-1.397940009,18,0.1,-1,17,0.08,-1.096910013,6,0.03,-1.522878745,13,0.05,-1.301029996,15,0.07,-1.15490196,11,0.04,-1.397940009,5,0.03,-1.522878745,6,0.04,-1.397940009
Ishikawa,4,0.03,-1.522878745,10,0.06,-1.22184875,6,0.03,-1.522878745,9,0.04,-1.397940009,9,0.03,-1.522878745,2,0.01,-2,5,0.02,-1.698970004,5,0.03,-1.522878745,6,0.04,-1.397940009
Iwate,15,0.11,-0.958607315,5,0.03,-1.522878745,13,0.06,-1.22184875,10,0.04,-1.397940009,14,0.05,-1.301029996,10,0.05,-1.301029996,9,0.03,-1.522878745,12,0.08,-1.096910013,5,0.03,-1.522878745
Kagawa,9,0.07,-1.15490196,3,0.02,-1.698970004,15,0.07,-1.15490196,19,0.08,-1.096910013,9,0.03,-1.522878745,10,0.05,-1.301029996,2,0.01,-2,1,0.01,-2,1,0.01,-2
Kagoshima,141,1.05,0.021189299,227,1.29,0.11058971,290,1.31,0.117271296,337,1.48,0.170261715,280,1.07,0.029383778,191,0.86,-0.065501549,257,0.95,-0.022276395,120,0.76,-0.119186408,134,0.88,-0.055517328
Kanagawa,10,0.07,-1.15490196,22,0.12,-0.920818754,9,0.04,-1.397940009,10,0.04,-1.397940009,27,0.1,-1,21,0.09,-1.045757491,9,0.03,-1.522878745,12,0.08,-1.096910013,9,0.06,-1.22184875
Kochi,11,0.08,-1.096910013,57,0.32,-0.494850022,35,0.16,-0.795880017,50,0.22,-0.657577319,33,0.13,-0.886056648,43,0.19,-0.721246399,22,0.08,-1.096910013,12,0.08,-1.096910013,21,0.14,-0.853871964
Kumamoto,164,1.22,0.086359831,196,1.11,0.045322979,270,1.22,0.086359831,268,1.18,0.071882007,268,1.03,0.012837225,135,0.61,-0.214670165,264,0.98,-0.008773924,155,0.99,-0.004364805,115,0.76,-0.119186408
Kyoto,2760,20.53,1.312388949,3538,20.09,1.302979937,4470,20.26,1.306639441,5049,22.15,1.345373731,5753,22.01,1.342620043,4994,22.49,1.351989455,6313,23.43,1.369772289,3237,20.63,1.314499228,3339,21.97,1.341830057
Mie,6,0.04,-1.397940009,7,0.04,-1.397940009,8,0.04,-1.397940009,14,0.06,-1.22184875,29,0.11,-0.958607315,20,0.09,-1.045757491,29,0.11,-0.958607315,12,0.08,-1.096910013,11,0.07,-1.15490196
Miyagi,5,0.04,-1.397940009,11,0.06,-1.22184875,5,0.02,-1.698970004,12,0.05,-1.301029996,7,0.03,-1.522878745,10,0.05,-1.301029996,6,0.02,-1.698970004,15,0.1,-1,15,0.1,-1
Miyazaki,44,0.33,-0.48148606,76,0.43,-0.366531544,76,0.34,-0.468521083,92,0.4,-0.397940009,79,0.3,-0.522878745,80,0.36,-0.443697499,51,0.19,-0.721246399,58,0.37,-0.431798276,27,0.18,-0.744727495
Nagano,512,3.81,0.580924976,416,2.36,0.372912003,488,2.21,0.344392274,448,1.97,0.294466226,420,1.61,0.206825876,286,1.29,0.11058971,415,1.54,0.187520721,256,1.63,0.212187604,227,1.49,0.173186268
Nagasaki,174,1.29,0.11058971,190,1.08,0.033423755,357,1.62,0.209515015,275,1.21,0.08278537,284,1.09,0.037426498,144,0.65,-0.187086643,218,0.81,-0.091514981,129,0.82,-0.086186148,92,0.61,-0.214670165
Nara,660,4.91,0.691081492,869,4.93,0.692846919,904,4.1,0.612783857,944,4.14,0.617000341,1081,4.14,0.617000341,1034,4.66,0.668385917,1196,4.44,0.64738297,639,4.07,0.609594409,730,4.8,0.681241237
Niigata,135,1,0,64,0.36,-0.443697499,84,0.38,-0.420216403,62,0.27,-0.568636236,71,0.27,-0.568636236,65,0.29,-0.537602002,73,0.27,-0.568636236,64,0.41,-0.387216143,66,0.43,-0.366531544
Oita,28,0.21,-0.677780705,43,0.24,-0.619788758,54,0.24,-0.619788758,29,0.13,-0.886056648,82,0.31,-0.508638306,26,0.12,-0.920818754,65,0.24,-0.619788758,28,0.18,-0.744727495,22,0.14,-0.853871964
Okayama,161,1.2,0.079181246,180,1.02,0.008600172,251,1.14,0.056904851,367,1.61,0.206825876,328,1.26,0.100370545,226,1.02,0.008600172,245,0.91,-0.040958608,133,0.85,-0.070581074,173,1.14,0.056904851
Okinawa,166,1.23,0.089905111,161,0.91,-0.040958608,172,0.78,-0.107905397,100,0.44,-0.356547324,136,0.52,-0.283996656,198,0.89,-0.050609993,147,0.55,-0.259637311,81,0.52,-0.283996656,76,0.5,-0.301029996
Osaka,1889,14.05,1.147676324,2775,15.76,1.197556213,3545,16.07,1.206015877,3618,15.87,1.200576927,4635,17.73,1.248708736,4074,18.35,1.263636069,4808,17.84,1.25139485,2402,15.31,1.184975191,2142,14.09,1.148910993
Saga,38,0.28,-0.552841969,37,0.21,-0.677780705,53,0.24,-0.619788758,41,0.18,-0.744727495,90,0.34,-0.468521083,53,0.24,-0.619788758,40,0.15,-0.823908741,22,0.14,-0.853871964,21,0.14,-0.853871964
Saitama,17,0.13,-0.886056648,13,0.07,-1.15490196,24,0.11,-0.958607315,25,0.11,-0.958607315,30,0.11,-0.958607315,12,0.05,-1.301029996,48,0.18,-0.744727495,24,0.15,-0.823908741,21,0.14,-0.853871964
Shiga,14,0.1,-1,24,0.14,-0.853871964,33,0.15,-0.823908741,36,0.16,-0.795880017,41,0.16,-0.795880017,51,0.23,-0.638272164,37,0.14,-0.853871964,50,0.32,-0.494850022,53,0.35,-0.455931956
Shimane,3,0.02,-1.698970004,5,0.03,-1.522878745,12,0.05,-1.301029996,11,0.05,-1.301029996,6,0.02,-1.698970004,5,0.02,-1.698970004,9,0.03,-1.522878745,2,0.01,-2,4,0.03,-1.522878745
Shizuoka,19,0.14,-0.853871964,57,0.32,-0.494850022,35,0.16,-0.795880017,54,0.24,-0.619788758,74,0.28,-0.552841969,47,0.21,-0.677780705,56,0.21,-0.677780705,63,0.4,-0.397940009,62,0.41,-0.387216143
Tochigi,14,0.1,-1,17,0.1,-1,5,0.02,-1.698970004,10,0.04,-1.397940009,20,0.08,-1.096910013,19,0.09,-1.045757491,13,0.05,-1.301029996,9,0.06,-1.22184875,6,0.04,-1.397940009
Tokushima,18,0.13,-0.886056648,17,0.1,-1,69,0.31,-0.508638306,28,0.12,-0.920818754,28,0.11,-0.958607315,38,0.17,-0.769551079,21,0.08,-1.096910013,42,0.27,-0.568636236,18,0.12,-0.920818754
Tokyo,4096,30.47,1.483872454,5454,30.97,1.490941205,7060,32,1.505149978,7163,31.43,1.497344381,8763,33.53,1.525433553,7197,32.41,1.510679031,8961,33.25,1.52179165,5639,35.94,1.555578073,5541,36.45,1.561697533
Tottori,65,0.48,-0.318758763,106,0.6,-0.22184875,49,0.22,-0.657577319,66,0.29,-0.537602002,35,0.13,-0.886056648,32,0.14,-0.853871964,45,0.17,-0.769551079,35,0.22,-0.657577319,20,0.13,-0.886056648
Toyama,271,2.02,0.305351369,374,2.12,0.326335861,315,1.43,0.155336037,322,1.41,0.149219113,288,1.1,0.041392685,275,1.24,0.093421685,294,1.09,0.037426498,119,0.76,-0.119186408,116,0.76,-0.119186408
Wakayama,55,0.41,-0.387216143,71,0.4,-0.397940009,51,0.23,-0.638272164,98,0.43,-0.366531544,91,0.35,-0.455931956,168,0.76,-0.119186408,60,0.22,-0.657577319,35,0.22,-0.657577319,25,0.16,-0.795880017
Yamagata,52,0.39,-0.408935393,81,0.46,-0.337242168,54,0.24,-0.619788758,42,0.18,-0.744727495,57,0.22,-0.657577319,51,0.23,-0.638272164,61,0.23,-0.638272164,55,0.35,-0.455931956,67,0.44,-0.356547324
Yamaguchi,16,0.12,-0.920818754,40,0.23,-0.638272164,33,0.15,-0.823908741,49,0.21,-0.677780705,24,0.09,-1.045757491,15,0.07,-1.15490196,24,0.09,-1.045757491,16,0.1,-1,4,0.03,-1.522878745
Yamanashi,9,0.07,-1.15490196,12,0.07,-1.15490196,10,0.05,-1.301029996,19,0.08,-1.096910013,38,0.15,-0.823908741,18,0.08,-1.096910013,39,0.14,-0.853871964,9,0.06,-1.22184875,7,0.05,-1.301029996
